id,teamName,teamCode,league,ceo,gm,coach,ac
1,100 Thieves,100T,LCS,Nadeshot--Matthew Haag,Papasmithy--Christopher Smith,Reapered--Bok Han-gyu,Mithy--Alfonse Rodriguez
2,Cloud9,C9,LCS,Jack Etienne,Jack Etienne,Max Waldo,Reven--Seong Sang-hyeon
3,Counter Logic Gaming,CLG,LCS,George Georgallidis,Jonathon McDaniel,Thinkcard--Thomas Slotkin,Croissant-Chris Sun
4,Evil Geniuses,EG,LCS,Nicole LaPointe Jameson,Andrew Barton,Peter Dun,Turtle--Gabriel Chavez
5,Team Solo Mid,TSM,LCS,Reginald--Andy Dinh,Dominic Kallas,Chawy Wong,Glen--Yang Po-Jen
6,Team Liquid,TL,LCS,Steve Arhancet,Dodo--Jun Kang,Andre Guilhoto,Kold--Jonas Andersen
7,Golden Guardians,GG,LCS,NA,Danan Flander,Inero--Nicholas Smith,Swip3rR--Brandon Holland
8,FlyQuest,FLY,LCS,Tricia Sugita,Nicholas Phan,Sharkz--Alexey Taranda,Richard Su
9,Dignitas QNTMPAY,DIG,LCS,Michael Prindiville,Bakery--James Baker,Enatron--Ilias Theodorou,Joshua Alan Mabrey
10,Immortals,IMT,LCS,Jordan Sherman,Mike Schwartz,Invert--Gabriel Zoltan-Johan,Dardoch--Joshua Hartnett
